Country/Territory,(millions of current Int$)
China,"23,460,170"
United States,"21,427,700"
European Union[n 2],"20,794,743"
India,"9,611,679"
Japan,"5,459,155"
Germany,"4,659,795"
Russia,"4,281,807"
Indonesia,"3,329,169"
France,"3,315,118"
United Kingdom,"3,255,484"
Brazil,"3,220,373"
Italy,"2,664,946"
Mexico,"2,603,907"
Turkey,"2,325,617"
South Korea,"2,224,985"
Spain,"1,987,305"
Canada,"1,929,897"
Saudi Arabia,"1,676,022"
Australia,"1,352,432"
Thailand,"1,338,781"
Poland,"1,299,277"
Egypt,"1,229,832"
Iran,"1,172,666"
Nigeria,"1,074,822"
Pakistan,"1,057,896"
Netherlands,"1,034,543"
Argentina,"1,031,215"
Philippines,"1,003,038"
Malaysia,"943,336"
Bangladesh,"869,507"
Vietnam,"807,817"
Colombia,"787,497"
South Africa,"761,206"
United Arab Emirates,"682,969"
Belgium,"626,400"
Romania,"625,164"
Switzerland,"608,721"
Singapore,"578,204"
Sweden,"574,078"
Ukraine,"560,702"
Austria,"524,728"
Algeria,"508,891"
Kazakhstan,"508,088"
Chile,"476,738"
Hong Kong,"468,275"
Czech Republic,"454,269"
Iraq,"445,464"
Ireland,"436,037"
Peru,"435,002"
Israel,"381,993"
Portugal,"374,533"
Norway,"357,410"
Denmark,"348,125"
Greece,"336,486"
Hungary,"331,973"
Sri Lanka,"296,959"
Morocco,"289,993"
Myanmar,"289,428"
Finland,"283,324"
Qatar,"273,269"
Ethiopia,"259,093"
Uzbekistan,"244,761"
Kenya,"237,073"
Angola,"220,539"
Kuwait,"218,398"
New Zealand,"216,115"
Dominican Republic,"205,999"
Ecuador,"205,822"
Belarus,"188,800"
Slovakia,"186,409"
Sudan,"176,499"
Ghana,"171,464"
Bulgaria,"171,333"
Tanzania,"155,993"
Azerbaijan,"150,358"
Guatemala,"149,362"
Oman,"144,536"
Côte d'Ivoire,"140,293"
Panama,"139,124"
Serbia,"131,878"
Tunisia,"130,997"
Croatia,"121,917"
Puerto Rico Puerto Rico,"114,808"
Libya,"107,104"
Lithuania,"106,497"
Lebanon,"105,080"
Bolivia,"104,609"
Jordan,"104,215"
Costa Rica,"103,144"
Nepal,"101,801"
Uganda,"100,565"
"Congo, Democratic Republic of the","99,241"
Cameroon,"98,436"
Paraguay,"93,062"
Turkmenistan,"88,908"
Afghanistan,"87,251"
Slovenia,"84,889"
Macau,"82,683"
Uruguay,"77,732"
Bahrain,"76,958"
Cambodia,"75,355"
Luxembourg,"75,189"
Zambia,"64,723"
Latvia,"61,600"
El Salvador,"58,984"
Laos,"58,436"
Georgia,"58,174"
Honduras,"58,139"
Senegal,"57,617"
Bosnia and Herzegovina,"52,128"
Estonia,"51,486"
Mali,"47,648"
Burkina Faso,"46,340"
Madagascar,"46,237"
Zimbabwe,"43,255"
Botswana,"42,625"
Armenia,"42,058"
Albania,"41,372"
Mongolia,"41,346"
Mozambique,"40,494"
Benin,"40,402"
Papua New Guinea,"40,102"
Trinidad and Tobago,"38,028"
North Macedonia,"37,117"
Nicaragua,"36,859"
Cyprus,"36,377"
Moldova,"36,075"
Kyrgyzstan,"35,324"
Guinea,"34,103"
Gabon,"33,645"
Tajikistan,"32,808"
Mauritius,"30,304"
Jamaica,"29,972"
Niger,"29,595"
Rwanda,"29,275"
Brunei,"28,022"
West Bank and Gaza (2018),"26,479"
Chad,"26,234"
Equatorial Guinea,"26,207"
Namibia,"25,037"
Mauritania,"24,495"
Malta,"22,947"
Iceland,"21,701"
Kosovo,"21,242"
Malawi,"20,559"
Haiti,"20,280"
"Congo, Republic of the","18,481"
Bahamas,"14,514"
Montenegro,"14,302"
Sierra Leone,"13,982"
Togo,"13,433"
Fiji,"12,840"
Maldives,"10,459"
Eswatini,"10,388"
Suriname,"9,886"
Burundi,"9,026"
Bhutan,"8,761"
Guyana,"7,910"
Liberia,"7,342"
Lesotho,"6,126"
Djibouti,"5,596"
"Gambia, The","5,396"
Barbados,"4,675"
Central African Republic,"4,669"
Cayman Islands Cayman Islands,"4,651"
Timor-Leste,"4,206"
Cape Verde,"4,108"
Curaçao Curaçao,"4,086"
Aruba Aruba (2017),"4,051"
Guinea-Bissau,"3,980"
Seychelles,"2,954"
Saint Lucia,"2,941"
Belize,"2,848"
Comoros,"2,731"
Antigua and Barbuda,"2,216"
San Marino (2017),"2,052"
Grenada,"2,011"
Solomon Islands,"1,651"
Saint Kitts and Nevis,"1,450"
St. Vincent and the Grenadines,"1,436"
Samoa,"1,338"
Sint Maarten Sint Maarten (Dutch part),"1,309"
Turks and Caicos Islands Turks and Caicos Islands,"1,019"
Vanuatu,982
Dominica,909
Sao Tome and Principe,888
Tonga,662
"Micronesia, Federated States of",400
Palau,331
Kiribati,279
Marshall Islands,233
Nauru,152
Tuvalu,52
Venezuela,"389,400"
Syria,50280
Cuba,132900
Taiwan,1175000
